Indicator,AACC Region,Aboriginality,Age Group,Gender,Count,Year
Children in care,East Kimberley,NonAboriginal,0 - 17 Years,All,0,2008
Children in care,East Kimberley,Aboriginal,0 - 17 Years,All,91,2008
Children in care,Goldfields-Esperance,NonAboriginal,0 - 17 Years,All,34,2008
Children in care,Goldfields-Esperance,Aboriginal,0 - 17 Years,All,69,2008
Children in care,Midwest-Gascoyne,Aboriginal,0 - 17 Years,All,94,2008
Children in care,Midwest-Gascoyne,NonAboriginal,0 - 17 Years,All,24,2008
Children in care,Perth,NonAboriginal,0 - 17 Years,All,1420,2008
Children in care,Perth,Aboriginal,0 - 17 Years,All,667,2008
Children in care,Pilbara,NonAboriginal,0 - 17 Years,All,8,2008
Children in care,Pilbara,Aboriginal,0 - 17 Years,All,86,2008
Children in care,Southern,NonAboriginal,0 - 17 Years,All,174,2008
Children in care,Southern,Aboriginal,0 - 17 Years,All,84,2008
Children in care,Western Australia,Aboriginal,0 - 17 Years,All,1220,2008
Children in care,Western Australia,NonAboriginal,0 - 17 Years,All,1817,2008
Children in care,Wheatbelt,Aboriginal,0 - 17 Years,All,62,2008
Children in care,Wheatbelt,NonAboriginal,0 - 17 Years,All,100,2008
Children in care,West Kimberley,Aboriginal,0 - 17 Years,All,95,2008
Children in care,West Kimberley,NonAboriginal,0 - 17 Years,All,3,2008
Children in care,East Kimberley,Aboriginal,0 - 17 Years,All,119,2009
Children in care,East Kimberley,NonAboriginal,0 - 17 Years,All,0,2009
Children in care,Goldfields-Esperance,Aboriginal,0 - 17 Years,All,76,2009
Children in care,Goldfields-Esperance,NonAboriginal,0 - 17 Years,All,35,2009
Children in care,Midwest-Gascoyne,Aboriginal,0 - 17 Years,All,89,2009
Children in care,Midwest-Gascoyne,NonAboriginal,0 - 17 Years,All,20,2009
Children in care,Perth,Aboriginal,0 - 17 Years,All,712,2009
Children in care,Perth,NonAboriginal,0 - 17 Years,All,1405,2009
Children in care,Pilbara,NonAboriginal,0 - 17 Years,All,7,2009
